2019-12-06 5:49:31 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-06 5:49:31 - PHP Notice:  Undefined variable: mysql in /home/vegedenc/public_html/meho_sufu/install/controller/install/step_3.php on line 280
2019-12-06 5:49:31 - PHP Notice:  Trying to get property 'connect_error' of non-object in /home/vegedenc/public_html/meho_sufu/install/controller/install/step_3.php on line 280
2019-12-06 9:31:50 - PHP Warning:  mysqli::__construct(): (28000/1045): Access denied for user 'vegedenc_sufupwd '@'localhost' (using password: YES) in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 7
2019-12-06 9:31:50 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-06 9:31:50 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-06 9:31:50 - PHP Notice:  Undefined variable: mysql in /home/vegedenc/public_html/meho_sufu/install/controller/install/step_3.php on line 280
2019-12-06 9:31:50 - PHP Notice:  Trying to get property 'connect_error' of non-object in /home/vegedenc/public_html/meho_sufu/install/controller/install/step_3.php on line 280
2019-12-06 9:32:22 - PHP Warning:  mysqli::__construct(): (28000/1045): Access denied for user 'vegedenc_sufupwd '@'localhost' (using password: YES) in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 7
2019-12-06 9:32:22 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-06 9:32:22 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-06 9:32:22 - PHP Notice:  Undefined variable: mysql in /home/vegedenc/public_html/meho_sufu/install/controller/install/step_3.php on line 280
2019-12-06 9:32:22 - PHP Notice:  Trying to get property 'connect_error' of non-object in /home/vegedenc/public_html/meho_sufu/install/controller/install/step_3.php on line 280
2019-12-06 9:35:10 - PHP Warning:  mysqli::__construct(): (42000/1044): Access denied for user 'vegedenc_admin'@'localhost' to database 'vegedenc_meho_sufu' in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 7
2019-12-06 9:35:10 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-06 9:35:10 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-06 9:35:10 - PHP Notice:  Undefined variable: mysql in /home/vegedenc/public_html/meho_sufu/install/controller/install/step_3.php on line 280
2019-12-06 9:35:10 - PHP Notice:  Trying to get property 'connect_error' of non-object in /home/vegedenc/public_html/meho_sufu/install/controller/install/step_3.php on line 280
2019-12-06 9:48:55 - PHP Warning:  mysqli::__construct(): (28000/1045): Access denied for user 'vegedenc_sufu_pw '@'localhost' (using password: YES) in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 7
2019-12-06 9:48:55 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-06 9:48:55 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-06 9:48:55 - PHP Notice:  Undefined variable: mysql in /home/vegedenc/public_html/meho_sufu/install/controller/install/step_3.php on line 280
2019-12-06 9:48:55 - PHP Notice:  Trying to get property 'connect_error' of non-object in /home/vegedenc/public_html/meho_sufu/install/controller/install/step_3.php on line 280
2019-12-06 9:58:29 - PHP Warning:  mysqli::__construct(): (28000/1045): Access denied for user 'vegedenc_sufu_pw '@'localhost' (using password: YES) in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 7
2019-12-06 9:58:29 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-06 9:58:29 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-06 9:58:29 - PHP Notice:  Undefined variable: mysql in /home/vegedenc/public_html/meho_sufu/install/controller/install/step_3.php on line 280
2019-12-06 9:58:29 - PHP Notice:  Trying to get property 'connect_error' of non-object in /home/vegedenc/public_html/meho_sufu/install/controller/install/step_3.php on line 280
2019-12-06 9:59:05 - PHP Warning:  mysqli::__construct(): (28000/1045): Access denied for user 'vegedenc_sufu_pw '@'localhost' (using password: YES) in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 7
2019-12-06 9:59:05 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-06 9:59:05 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-06 9:59:05 - PHP Notice:  Undefined variable: mysql in /home/vegedenc/public_html/meho_sufu/install/controller/install/step_3.php on line 280
2019-12-06 9:59:05 - PHP Notice:  Trying to get property 'connect_error' of non-object in /home/vegedenc/public_html/meho_sufu/install/controller/install/step_3.php on line 280
2019-12-06 9:59:45 - PHP Warning:  mysqli::__construct(): (28000/1045): Access denied for user 'vegedenc_sufu_pw '@'localhost' (using password: YES) in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 7
2019-12-06 9:59:45 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-06 9:59:45 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-06 9:59:45 - PHP Notice:  Undefined variable: mysql in /home/vegedenc/public_html/meho_sufu/install/controller/install/step_3.php on line 280
2019-12-06 9:59:45 - PHP Notice:  Trying to get property 'connect_error' of non-object in /home/vegedenc/public_html/meho_sufu/install/controller/install/step_3.php on line 280
2019-12-06 10:02:49 - PHP Warning:  mysqli::__construct(): (28000/1045): Access denied for user 'vegedenc_sufu_pw '@'localhost' (using password: YES) in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 7
2019-12-06 10:02:49 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-06 10:02:49 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-06 10:02:49 - PHP Notice:  Undefined variable: mysql in /home/vegedenc/public_html/meho_sufu/install/controller/install/step_3.php on line 280
2019-12-06 10:02:49 - PHP Notice:  Trying to get property 'connect_error' of non-object in /home/vegedenc/public_html/meho_sufu/install/controller/install/step_3.php on line 280
2019-12-06 10:05:22 - PHP Warning:  mysqli::__construct(): (28000/1045): Access denied for user 'vegedenc_sufu_pw '@'localhost' (using password: YES) in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 7
2019-12-06 10:05:22 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-06 10:05:22 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-06 10:05:22 - PHP Notice:  Undefined variable: mysql in /home/vegedenc/public_html/meho_sufu/install/controller/install/step_3.php on line 280
2019-12-06 10:05:22 - PHP Notice:  Trying to get property 'connect_error' of non-object in /home/vegedenc/public_html/meho_sufu/install/controller/install/step_3.php on line 280
2019-12-06 10:09:08 - PHP Warning:  mysqli::__construct(): (28000/1045): Access denied for user 'vegedenc_sufu_pw '@'localhost' (using password: YES) in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 7
2019-12-06 10:09:08 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-06 10:09:08 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
